created_at,entry_id,noise,accelerometer-x,accelerometer-y,accelerometer-z,gyroscope-x,gyroscope-y,gyroscope-z,magnetometer-x,magnetometer-y,magnetometer-z,temperature,label
2018-04-19 07:33:57 UTC,49,283.6812,0.026947314,0.018689063,0.027844238,-1.473282443,5.839694656,1.625954198,5.361328125,-29.14101563,-22.47070313,0.177889598,ON
2018-04-19 07:34:55 UTC,50,273.3496,0.026113086,0.021228125,0.031351563,0.893129771,0.961832061,-1.610687023,5.182617188,-27.52207031,-22.98925781,0.170221943,ON
2018-04-19 07:35:55 UTC,51,275.5004,0.02368125,0.020323047,0.030877441,1.20610687,8.541984733,4.610687023,3.038085938,-28.24160156,-24.02636719,0.140471441,ON
2018-04-19 07:36:56 UTC,52,283.5504,0.026413574,0.021353955,0.036403809,2.091603053,-5.72519084,-3.86259542,7.1484375,-28.42148438,-22.125,0.150669422,ON
2018-04-19 07:37:56 UTC,53,339.5816,0.022261475,0.017173242,0.024830566,3.496183206,-7.145038168,-6.396946565,4.825195313,-29.68066406,-23.68066406,0.162075059,ON
2018-04-19 07:38:55 UTC,54,273.1864,0.007325732,0.012481641,0.022150391,1.160305344,-0.564885496,1.34351145,5.00390625,-28.06171875,-23.85351563,0.12381346,ON
2018-04-19 07:39:56 UTC,55,224.8368,0.010783887,0.019161963,0.031191406,0.709923664,-0.229007634,2.076335878,5.182617188,-29.32089844,-22.98925781,0.116510019,ON
2018-04-19 07:40:56 UTC,56,283.29,0.014142334,0.025029688,0.032907227,4.580152672,1.877862595,-4.366412214,4.825195313,-29.68066406,-22.98925781,0.088638093,ON
2018-04-19 07:41:56 UTC,57,305.6104,0.013989844,0.022188232,0.032157715,3.20610687,0.961832061,1.580152672,4.825195313,-30.04042969,-22.98925781,0.241128583,ON
2018-04-19 07:42:55 UTC,58,259.3996,0.0144229,0.02509209,0.027037598,5.778625954,-1.389312977,-8.106870229,4.2890625,-29.50078125,-22.81640625,0.378839668,ON
2018-04-19 07:43:57 UTC,59,292.5824,0.014364307,0.02488916,0.031103516,2.488549618,0.13740458,-5.374045802,4.110351563,-26.44277344,-23.33496094,0.394730883,ON
2018-04-19 07:44:56 UTC,60,294.7388,0.014223047,0.022282764,0.028483887,3.977099237,1.778625954,-2.770992366,4.2890625,-28.06171875,-23.5078125,0.405906491,ON
2018-04-19 07:45:55 UTC,61,297.4196,0.014812402,0.022188916,0.027602539,-0.41221374,0.923664122,6.396946565,4.467773438,-26.80253906,-22.29785156,0.427605954,ON
2018-04-19 07:46:56 UTC,62,209.3916,0.002554932,0.005557666,0.004365234,1.870229008,0.526717557,-0.198473282,4.2890625,-28.42148438,-24.19921875,0.393101507,OFF
2018-04-19 07:47:56 UTC,63,221.4136,0.002358691,0.005325732,0.003988281,2.083969466,0.557251908,-0.007633588,4.2890625,-28.06171875,-22.47070313,0.341843232,OFF
2018-04-19 07:48:56 UTC,64,205.8912,0.002581641,0.005306201,0.003794922,1.832061069,0.702290076,-0.022900763,4.825195313,-27.88183594,-22.98925781,0.301262168,OFF
2018-04-19 07:49:56 UTC,65,192.2216,0.002753467,0.00565708,0.003944824,2.099236641,0.465648855,-0.480916031,6.254882813,-26.08300781,-21.95214844,0.207716776,OFF
2018-04-19 07:50:56 UTC,66,207.0416,0.002584082,0.005858643,0.004383301,1.908396947,0.732824427,-0.305343511,4.110351563,-27.16230469,-20.56933594,0.2345344,OFF
2018-04-19 07:51:56 UTC,67,213.1712,0.003331885,0.006167627,0.005853027,1.908396947,0.259541985,-0.213740458,5.540039063,-28.60136719,-22.29785156,0.167691616,OFF
2018-04-19 07:52:56 UTC,68,203.9412,0.002356445,0.005713574,0.004416992,1.679389313,0.870229008,-0.312977099,5.182617188,-28.60136719,-22.64355469,0.100177914,OFF
2018-04-19 07:53:56 UTC,69,212.2724,0.003217334,0.006225537,0.005730469,1.641221374,0.916030534,0.167938931,5.540039063,-27.88183594,-21.60644531,0.10847815,OFF
2018-04-19 07:54:56 UTC,70,205.232,0.002616553,0.005413281,0.004853027,2.13740458,0.633587786,0.030534351,6.612304688,-28.60136719,-21.95214844,0.110222542,OFF
2018-04-19 07:55:55 UTC,71,214.5712,0.002766406,0.005835303,0.004797852,2.053435115,1.091603053,-0.106870229,5.897460938,-27.88183594,-22.29785156,0.094638033,OFF
